event_id,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at
EVT00001,Medium,19.67,Normal,6.3,No IOC Match,,LEG-PRT-0068,Unknown,False,,0,0.3752,37.52,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773641+00:00
EVT00002,Low,30.86,Normal,3.2,Suspicious,Low,OPS-PC-0053,Unknown,False,,2,0.3171,31.71,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773745+00:00
EVT00003,High,53.57,Normal,4.0,No IOC Match,,MKT-PC-0026,Unknown,False,,7,0.5018,50.18,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.773804+00:00
EVT00004,High,22.12,Normal,1.7,No IOC Match,,MKT-DB-0098,Unknown,False,,0,0.346,34.6,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773854+00:00
EVT00005,High,25.13,Normal,2.9,No IOC Match,,SAL-MOB-0138,Unknown,False,,0,0.3854,38.54,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773899+00:00
EVT00006,High,60.37,Suspicious,6.4,Suspicious,Low,ENG-FW-0105,Unknown,False,,0,0.6455,64.55,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773942+00:00
EVT00007,Medium,15.15,Normal,2.4,Suspicious,Medium,FIN-IOT-0123,Unknown,False,,0,0.3261,32.61,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773985+00:00
EVT00008,Low,26.6,Normal,3.5,No IOC Match,,OPS-MOB-0077,Medium,True,0.5,0,0.299,29.9,Medium,Monitor,True,[],1.0,0.5,[],2026-09-02T05:58:31.774108+00:00
EVT00009,Medium,20.15,Normal,2.2,No IOC Match,,FIN-FW-0015,Unknown,False,,0,0.2742,27.42,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774161+00:00
EVT00010,Medium,37.57,Normal,1.5,No IOC Match,,IT-IOT-0051,Unknown,False,,0,0.3112,31.12,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774206+00:00
EVT00011,Medium,14.9,Normal,1.4,No IOC Match,,SAL-LAP-0046,Unknown,False,,0,0.2378,23.78,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774248+00:00
EVT00012,High,32.76,Normal,6.8,Suspicious,Low,HR-MOB-0013,Unknown,False,,0,0.5692,56.92,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774289+00:00
EVT00013,High,49.15,Normal,1.7,No IOC Match,,IT-SW-0001,Unknown,False,,8,0.4305,43.05,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.774330+00:00
EVT00014,Medium,24.37,Normal,8.0,No IOC Match,,MKT-SW-0042,Unknown,False,,0,0.4324,43.24,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774371+00:00
EVT00015,High,47.86,Normal,8.9,No IOC Match,,HR-PRT-0061,Unknown,False,,2,0.6064,60.64,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774444+00:00
EVT00016,Critical,61.21,Normal,2.4,No IOC Match,,MKT-SRV-0076,Unknown,False,,8,0.5638,56.38,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.774500+00:00
EVT00017,High,22.25,Normal,5.6,No IOC Match,,IT-FW-0124,Unknown,False,,0,0.4439,44.39,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774540+00:00
EVT00018,High,21.05,Normal,2.6,No IOC Match,,HR-MOB-0006,Unknown,False,,0,0.3652,36.52,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774580+00:00
