rank,event_id,risk_score,risk_level,priority,status,reasons,input_ioc_status,input_asset_criticality_label,input_asset_criticality_verified
1,EVT02983,82.72,Critical,Immediate Investigation,Open,"['High ML confidence', 'High CVSS vulnerability']",No IOC Match,Unknown,False
2,EVT07200,82.65,Critical,Immediate Investigation,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
3,EVT09380,81.5,Critical,Immediate Investigation,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
4,EVT07014,81.25,Critical,Immediate Investigation,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
5,EVT04821,80.29,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
6,EVT02704,80.28,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
7,EVT04789,80.23,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
8,EVT00975,79.94,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
9,EVT08644,79.92,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
10,EVT06947,79.58,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
11,EVT00119,79.15,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
12,EVT00319,79.09,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
13,EVT00024,79.08,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Malicious IOC']",Malicious,Unknown,False
14,EVT06435,78.82,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
15,EVT00307,78.73,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
16,EVT08916,78.58,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
17,EVT09064,78.44,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
18,EVT04441,78.23,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
19,EVT05159,78.2,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
20,EVT03627,78.09,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
21,EVT03635,77.77,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
22,EVT09188,77.77,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
23,EVT08813,77.73,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
24,EVT03143,77.56,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
25,EVT03392,77.55,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
26,EVT08468,77.47,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
27,EVT07593,77.45,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
28,EVT00140,77.41,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
29,EVT02042,77.4,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
30,EVT08320,77.24,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
31,EVT06239,77.21,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
32,EVT07805,77.18,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
33,EVT09726,77.17,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
34,EVT01758,77.12,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
35,EVT09986,77.02,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
36,EVT05775,76.98,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
37,EVT02829,76.97,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
38,EVT04931,76.87,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
39,EVT08518,76.83,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
40,EVT09078,76.65,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
41,EVT06016,76.6,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
42,EVT08144,76.47,High,Investigate Soon,Open,"['High ML confidence', 'High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
43,EVT04881,76.45,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
44,EVT02196,76.42,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
45,EVT08839,76.32,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
46,EVT08965,76.26,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
47,EVT09533,76.26,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
48,EVT06528,76.19,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
49,EVT01148,76.02,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
50,EVT00971,76.01,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
51,EVT08668,75.94,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
52,EVT01100,75.76,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
53,EVT02716,75.67,High,Investigate Soon,Open,['Multiple failed login attempts'],No IOC Match,Unknown,False
54,EVT01455,75.66,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
55,EVT05928,75.65,High,Investigate Soon,Open,"['Critical asset', 'High CVSS vulnerability']",No IOC Match,Critical,True
56,EVT04913,75.63,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
57,EVT02279,75.61,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
58,EVT03394,75.56,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
59,EVT07584,75.35,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
60,EVT03515,75.34,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
61,EVT08310,75.34,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
62,EVT08564,75.21,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
63,EVT09982,75.18,High,Investigate Soon,Open,[],No IOC Match,Unknown,False
64,EVT05474,75.17,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
65,EVT03345,75.14,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
66,EVT00977,75.13,High,Investigate Soon,Open,"['High CVSS vulnerability', 'Multiple failed login attempts']",No IOC Match,Unknown,False
67,EVT07416,75.06,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
68,EVT09649,75.03,High,Investigate Soon,Open,['High CVSS vulnerability'],No IOC Match,Unknown,False
