event_id,timestamp,event_type,severity,prediction,anomaly_score,threat_type,threat_level,threat_score,detection_reason,failed_login_attempts,malware_detected,cvss_score,threat_confidence_score,confidence_level,confidence_reason
EVT00001,2026-01-01 00:05:00,Firewall Rule Change,Medium,Normal,0.1555605165886113,Security Configuration Change,Low,1,No major suspicious indicators,0,No,6.3,19.67,Low,limited supporting security evidence
EVT00002,2026-01-01 00:10:00,Ransomware Detected,Low,Normal,0.0947355507014335,Ransomware,Critical,4,Ransomware event detected,2,No,3.2,30.86,Low,limited supporting security evidence
EVT00003,2026-01-01 00:15:00,Suspicious Process Execution,High,Normal,0.0452802157198604,Suspicious Process,Medium,2,No major suspicious indicators,7,No,4.0,53.57,Moderate,moderate anomaly evidence + high failed-login activity
EVT00004,2026-01-01 00:20:00,Credential Dumping,High,Normal,0.1019436311273145,Credential Theft,High,3,Credential theft indicator,0,No,1.7,22.12,Low,limited supporting security evidence
EVT00005,2026-01-01 00:25:00,Credential Dumping,High,Normal,0.1004876553618773,Credential Theft,High,3,Credential theft indicator,0,No,2.9,25.13,Low,limited supporting security evidence
EVT00006,2026-01-01 00:30:00,Brute Force,High,Suspicious,-0.0001295096632438,Brute Force,High,3,ML anomaly detected + Authentication attack indicator + Malware indicator present,0,Yes,6.4,60.37,Moderate,strong anomaly evidence + malware detected
EVT00007,2026-01-01 00:35:00,DDoS Attempt,Medium,Normal,0.1380021621147075,DDoS,High,3,DDoS indicator,0,No,2.4,15.15,Low,limited supporting security evidence
EVT00008,2026-01-01 00:40:00,DDoS Attempt,Low,Normal,0.0998817252789587,DDoS,High,3,DDoS indicator,0,No,3.5,26.6,Low,limited supporting security evidence
EVT00009,2026-01-01 00:45:00,DDoS Attempt,Medium,Normal,0.1149758455155977,DDoS,High,3,DDoS indicator,0,No,2.2,20.15,Low,limited supporting security evidence
EVT00010,2026-01-01 00:50:00,File Access,Medium,Normal,0.0502958315041209,File Activity,High,3,Malware indicator present,0,Yes,1.5,37.57,Low,moderate anomaly evidence + malware detected
