event_id,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,ml_prediction,ioc_status,asset_name,asset_criticality_label,asset_criticality_verified
EVT00001,0.3752,37.52,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773641+00:00,Medium,19.67,Normal,6.3,No IOC Match,,LEG-PRT-0068,Unknown,False,,0,Normal,No IOC Match,LEG-PRT-0068,Unknown,False
EVT00002,0.3171,31.71,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773745+00:00,Low,30.86,Normal,3.2,Suspicious,Low,OPS-PC-0053,Unknown,False,,2,Normal,Suspicious,OPS-PC-0053,Unknown,False
EVT00003,0.5018,50.18,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.773804+00:00,High,53.57,Normal,4.0,No IOC Match,,MKT-PC-0026,Unknown,False,,7,Normal,No IOC Match,MKT-PC-0026,Unknown,False
EVT00004,0.346,34.6,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773854+00:00,High,22.12,Normal,1.7,No IOC Match,,MKT-DB-0098,Unknown,False,,0,Normal,No IOC Match,MKT-DB-0098,Unknown,False
EVT00005,0.3854,38.54,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773899+00:00,High,25.13,Normal,2.9,No IOC Match,,SAL-MOB-0138,Unknown,False,,0,Normal,No IOC Match,SAL-MOB-0138,Unknown,False
EVT00006,0.6455,64.55,High,Investigate Soon,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773942+00:00,High,60.37,Suspicious,6.4,Suspicious,Low,ENG-FW-0105,Unknown,False,,0,Suspicious,Suspicious,ENG-FW-0105,Unknown,False
EVT00007,0.3261,32.61,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.773985+00:00,Medium,15.15,Normal,2.4,Suspicious,Medium,FIN-IOT-0123,Unknown,False,,0,Normal,Suspicious,FIN-IOT-0123,Unknown,False
EVT00008,0.299,29.9,Medium,Monitor,True,[],1.0,0.5,[],2026-09-02T05:58:31.774108+00:00,Low,26.6,Normal,3.5,No IOC Match,,OPS-MOB-0077,Medium,True,0.5,0,Normal,No IOC Match,OPS-MOB-0077,Medium,True
EVT00009,0.2742,27.42,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774161+00:00,Medium,20.15,Normal,2.2,No IOC Match,,FIN-FW-0015,Unknown,False,,0,Normal,No IOC Match,FIN-FW-0015,Unknown,False
EVT00010,0.3112,31.12,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774206+00:00,Medium,37.57,Normal,1.5,No IOC Match,,IT-IOT-0051,Unknown,False,,0,Normal,No IOC Match,IT-IOT-0051,Unknown,False
EVT00011,0.2378,23.78,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774248+00:00,Medium,14.9,Normal,1.4,No IOC Match,,SAL-LAP-0046,Unknown,False,,0,Normal,No IOC Match,SAL-LAP-0046,Unknown,False
EVT00012,0.5692,56.92,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774289+00:00,High,32.76,Normal,6.8,Suspicious,Low,HR-MOB-0013,Unknown,False,,0,Normal,Suspicious,HR-MOB-0013,Unknown,False
EVT00013,0.4305,43.05,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.774330+00:00,High,49.15,Normal,1.7,No IOC Match,,IT-SW-0001,Unknown,False,,8,Normal,No IOC Match,IT-SW-0001,Unknown,False
EVT00014,0.4324,43.24,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774371+00:00,Medium,24.37,Normal,8.0,No IOC Match,,MKT-SW-0042,Unknown,False,,0,Normal,No IOC Match,MKT-SW-0042,Unknown,False
EVT00015,0.6064,60.64,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774444+00:00,High,47.86,Normal,8.9,No IOC Match,,HR-PRT-0061,Unknown,False,,2,Normal,No IOC Match,HR-PRT-0061,Unknown,False
EVT00016,0.5638,56.38,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['Multiple failed login attempts'],2026-09-02T05:58:31.774500+00:00,Critical,61.21,Normal,2.4,No IOC Match,,MKT-SRV-0076,Unknown,False,,8,Normal,No IOC Match,MKT-SRV-0076,Unknown,False
EVT00017,0.4439,44.39,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774540+00:00,High,22.25,Normal,5.6,No IOC Match,,IT-FW-0124,Unknown,False,,0,Normal,No IOC Match,IT-FW-0124,Unknown,False
EVT00018,0.3652,36.52,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774580+00:00,High,21.05,Normal,2.6,No IOC Match,,HR-MOB-0006,Unknown,False,,0,Normal,No IOC Match,HR-MOB-0006,Unknown,False
EVT00019,0.2507,25.07,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774617+00:00,Medium,27.82,Normal,0.3,No IOC Match,,IT-SW-0117,Unknown,False,,0,Normal,No IOC Match,IT-SW-0117,Unknown,False
EVT00020,0.4961,49.61,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774655+00:00,Critical,25.96,Normal,4.1,No IOC Match,,OPS-DB-0092,Unknown,False,,0,Normal,No IOC Match,OPS-DB-0092,Unknown,False
EVT00021,0.4641,46.41,Moderate,Review When Possible,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.774693+00:00,Medium,32.1,Normal,8.3,No IOC Match,,IT-SRV-0016,Unknown,False,,0,Normal,No IOC Match,IT-SRV-0016,Unknown,False
EVT00022,0.2917,29.17,Medium,Monitor,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774731+00:00,Low,50.76,Normal,2.2,No IOC Match,,LEG-LAP-0079,Unknown,False,,0,Normal,No IOC Match,LEG-LAP-0079,Unknown,False
EVT00023,0.468,46.8,Moderate,Review When Possible,False,['asset_criticality'],0.8,,[],2026-09-02T05:58:31.774767+00:00,High,25.17,Normal,6.2,No IOC Match,,FIN-LAP-0086,Unknown,False,,0,Normal,No IOC Match,FIN-LAP-0086,Unknown,False
EVT00024,0.7908,79.08,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Malicious IOC']",2026-09-02T05:58:31.774805+00:00,High,62.05,Normal,9.5,Malicious,High,HR-SRV-0010,Unknown,False,,0,Normal,Malicious,HR-SRV-0010,Unknown,False
