event_id,timestamp,source_ip,destination_ip,username,event_type,protocol,source_country,destination_country,device_name,os,event_status,severity,failed_login_attempts,malware_detected,vulnerability_id,cvss_score,asset_name,department,attack_type,threat_indicator
EVT00001,2026-01-01 00:05:00,32.164.172.36,10.0.4.96,schmidtcorey,Firewall Rule Change,FTP,India,India,Device-562,Windows Server 2019,Blocked,Medium,0,No,CVE-2025-52160,6.3,LEG-PRT-0068,IT,Normal Activity,False
EVT00002,2026-01-01 00:10:00,198.41.10.149,10.0.2.163,phood,Ransomware Detected,SSH,India,India,Device-714,Windows 10,Failed,Low,2,No,NO_CVE,3.2,OPS-PC-0053,HR,Normal Activity,False
EVT00003,2026-01-01 00:15:00,158.155.250.95,10.0.2.67,ebonydavis,Suspicious Process Execution,DNS,India,India,Device-985,macOS,Failed,High,7,No,CVE-2023-57428,4.0,MKT-PC-0026,HR,Normal Activity,False
EVT00004,2026-01-01 00:20:00,213.160.172.226,10.0.5.3,hannahmcgrath,Credential Dumping,RDP,India,India,Device-259,macOS,Detected,High,0,No,CVE-2020-60673,1.7,MKT-DB-0098,Finance,Normal Activity,False
EVT00005,2026-01-01 00:25:00,102.53.4.212,10.0.4.106,wduran,Credential Dumping,DNS,India,India,Device-469,macOS,Success,High,0,No,CVE-2019-43991,2.9,SAL-MOB-0138,Legal,Normal Activity,False
EVT00006,2026-01-01 00:30:00,20.212.77.245,10.0.0.12,tracy37,Brute Force,RDP,India,India,Device-879,Linux,Detected,High,0,Yes,CVE-2018-54101,6.4,ENG-FW-0105,Engineering,Normal Activity,False
EVT00007,2026-01-01 00:35:00,159.245.107.218,10.0.5.31,zbaker,DDoS Attempt,HTTP,India,India,Device-436,Windows 11,Detected,Medium,0,No,CVE-2015-71700,2.4,FIN-IOT-0123,Sales,Normal Activity,False
EVT00008,2026-01-01 00:40:00,38.91.241.59,10.0.2.112,campbellellen,DDoS Attempt,SSH,India,India,Device-801,macOS,Success,Low,0,No,CVE-2019-8314,3.5,OPS-MOB-0077,HR,Normal Activity,False
EVT00009,2026-01-01 00:45:00,205.113.238.248,10.0.2.184,earmstrong,DDoS Attempt,SSH,India,India,Device-954,Linux,Blocked,Medium,0,No,CVE-2015-83475,2.2,FIN-FW-0015,Operations,Normal Activity,False
EVT00010,2026-01-01 00:50:00,157.182.214.170,10.0.9.192,gregory44,File Access,HTTPS,India,India,Device-977,Windows Server 2019,Blocked,Medium,0,Yes,CVE-2026-55574,1.5,IT-IOT-0051,Sales,Normal Activity,False
EVT00011,2026-01-01 00:55:00,155.109.165.140,10.0.8.250,justinburns,DNS Tunneling Detected,DNS,India,India,Device-449,Windows 10,Blocked,Medium,0,No,NO_CVE,1.4,SAL-LAP-0046,IT,Normal Activity,False
EVT00012,2026-01-01 01:00:00,203.44.143.133,10.0.1.5,matthew20,SQL Injection Attempt,DNS,India,India,Device-895,Linux,Success,High,0,No,CVE-2019-17616,6.8,HR-MOB-0013,Legal,Normal Activity,False
EVT00013,2026-01-01 01:05:00,206.128.172.251,10.0.2.21,mary46,Session Hijacking Attempt,SSH,India,India,Device-265,Windows Server 2019,Failed,High,8,No,NO_CVE,1.7,IT-SW-0001,IT,Normal Activity,False
EVT00014,2026-01-01 01:10:00,42.80.211.45,10.0.4.134,adam63,Lateral Movement Detected,SSH,India,India,Device-659,Windows Server 2019,Success,Medium,0,No,NO_CVE,8.0,MKT-SW-0042,Marketing,Normal Activity,False
EVT00015,2026-01-01 01:15:00,158.13.190.130,10.0.9.209,gregory44,DDoS Attempt,FTP,India,India,Device-281,macOS,Failed,High,2,No,NO_CVE,8.9,HR-PRT-0061,Finance,Normal Activity,False
EVT00016,2026-01-01 01:20:00,172.212.118.217,10.0.8.219,ebonydavis,Session Hijacking Attempt,FTP,India,India,Device-629,Windows 11,Failed,Critical,8,No,NO_CVE,2.4,MKT-SRV-0076,Sales,Normal Activity,False
EVT00017,2026-01-01 01:25:00,143.98.113.32,10.0.9.175,anthony67,Firewall Rule Change,DNS,India,India,Device-579,Windows 11,Failed,High,0,No,NO_CVE,5.6,IT-FW-0124,Marketing,Normal Activity,False
EVT00018,2026-01-01 01:30:00,14.159.148.75,10.0.7.167,amanda50,Failed Login,SMB,India,India,Device-842,Linux,Blocked,High,0,No,CVE-2020-93351,2.6,HR-MOB-0006,Finance,Normal Activity,False
EVT00019,2026-01-01 01:35:00,181.126.33.249,10.0.9.214,youngrobin,Web Shell Detected,SMB,India,India,Device-405,macOS,Detected,Medium,0,No,CVE-2025-15734,0.3,IT-SW-0117,Operations,Normal Activity,False
EVT00020,2026-01-01 01:40:00,155.173.209.74,10.0.4.64,michael76,Suspicious Process Execution,SSH,India,India,Device-233,Windows 11,Success,Critical,0,No,CVE-2021-21756,4.1,OPS-DB-0092,Marketing,Normal Activity,False
EVT00021,2026-01-01 01:45:00,11.248.138.69,10.0.7.148,codybenton,Session Hijacking Attempt,FTP,India,India,Device-18,macOS,Blocked,Medium,0,No,CVE-2016-26326,8.3,IT-SRV-0016,Legal,Normal Activity,False
EVT00022,2026-01-01 01:50:00,187.58.130.51,10.0.7.21,jeremiah62,Port Scan,SSH,India,India,Device-376,macOS,Detected,Low,0,Yes,CVE-2016-53779,2.2,LEG-LAP-0079,Finance,Normal Activity,False
EVT00023,2026-01-01 01:55:00,209.211.49.58,10.0.6.12,cfitzgerald,VPN Connection,RDP,India,India,Device-679,Windows Server 2019,Detected,High,0,No,CVE-2023-74996,6.2,FIN-LAP-0086,Legal,Normal Activity,False
EVT00024,2026-01-01 02:00:00,37.43.31.145,10.0.0.190,hgarcia,Phishing Email,DNS,India,India,Device-181,Windows Server 2019,Detected,High,0,Yes,CVE-2026-59306,9.5,HR-SRV-0010,Operations,Normal Activity,False
EVT00025,2026-01-01 02:05:00,203.100.239.93,10.0.1.78,scottkrista,DNS Tunneling Detected,SSH,India,India,Device-73,Linux,Success,Critical,0,No,NO_CVE,2.8,FIN-SRV-0093,Sales,Normal Activity,False
EVT00026,2026-01-01 02:10:00,204.200.119.225,10.0.0.85,vasquezbrooke,Brute Force,FTP,India,India,Device-680,Windows 11,Success,Medium,0,No,NO_CVE,8.5,HR-RTR-0013,Sales,Normal Activity,False
EVT00027,2026-01-01 02:15:00,82.160.56.163,10.0.9.232,ryan05,Firewall Rule Change,SSH,India,India,Device-705,Linux,Detected,High,0,Yes,CVE-2020-30074,9.5,HR-FW-0141,HR,Normal Activity,False
EVT00028,2026-01-01 02:20:00,40.239.202.67,10.0.5.40,lisarodriguez,Phishing Email,RDP,India,India,Device-599,Windows 11,Detected,Low,0,No,CVE-2021-58755,9.2,SAL-SRV-0136,Operations,Normal Activity,False
