event_id,timestamp,source_ip,destination_ip,event_type,severity,status
EVT00001,2026-01-01 00:05:00,32.164.172.36,10.0.4.96,Firewall Rule Change,Medium,Blocked
EVT00002,2026-01-01 00:10:00,198.41.10.149,10.0.2.163,Ransomware Detected,Low,Failed
EVT00003,2026-01-01 00:15:00,158.155.250.95,10.0.2.67,Suspicious Process Execution,High,Failed
EVT00004,2026-01-01 00:20:00,213.160.172.226,10.0.5.3,Credential Dumping,High,Detected
EVT00005,2026-01-01 00:25:00,102.53.4.212,10.0.4.106,Credential Dumping,High,Success
EVT00006,2026-01-01 00:30:00,20.212.77.245,10.0.0.12,Brute Force,High,Detected
EVT00007,2026-01-01 00:35:00,159.245.107.218,10.0.5.31,DDoS Attempt,Medium,Detected
EVT00008,2026-01-01 00:40:00,38.91.241.59,10.0.2.112,DDoS Attempt,Low,Success
EVT00009,2026-01-01 00:45:00,205.113.238.248,10.0.2.184,DDoS Attempt,Medium,Blocked
EVT00010,2026-01-01 00:50:00,157.182.214.170,10.0.9.192,File Access,Medium,Blocked
EVT00011,2026-01-01 00:55:00,155.109.165.140,10.0.8.250,DNS Tunneling Detected,Medium,Blocked
EVT00012,2026-01-01 01:00:00,203.44.143.133,10.0.1.5,SQL Injection Attempt,High,Success
EVT00013,2026-01-01 01:05:00,206.128.172.251,10.0.2.21,Session Hijacking Attempt,High,Failed
EVT00014,2026-01-01 01:10:00,42.80.211.45,10.0.4.134,Lateral Movement Detected,Medium,Success
EVT00015,2026-01-01 01:15:00,158.13.190.130,10.0.9.209,DDoS Attempt,High,Failed
EVT00016,2026-01-01 01:20:00,172.212.118.217,10.0.8.219,Session Hijacking Attempt,Critical,Failed
EVT00017,2026-01-01 01:25:00,143.98.113.32,10.0.9.175,Firewall Rule Change,High,Failed
EVT00018,2026-01-01 01:30:00,14.159.148.75,10.0.7.167,Failed Login,High,Blocked
EVT00019,2026-01-01 01:35:00,181.126.33.249,10.0.9.214,Web Shell Detected,Medium,Detected
EVT00020,2026-01-01 01:40:00,155.173.209.74,10.0.4.64,Suspicious Process Execution,Critical,Success
EVT00021,2026-01-01 01:45:00,11.248.138.69,10.0.7.148,Session Hijacking Attempt,Medium,Blocked
EVT00022,2026-01-01 01:50:00,187.58.130.51,10.0.7.21,Port Scan,Low,Detected
EVT00023,2026-01-01 01:55:00,209.211.49.58,10.0.6.12,VPN Connection,High,Detected
EVT00024,2026-01-01 02:00:00,37.43.31.145,10.0.0.190,Phishing Email,High,Detected
EVT00025,2026-01-01 02:05:00,203.100.239.93,10.0.1.78,DNS Tunneling Detected,Critical,Success
EVT00026,2026-01-01 02:10:00,204.200.119.225,10.0.0.85,Brute Force,Medium,Success
EVT00027,2026-01-01 02:15:00,82.160.56.163,10.0.9.232,Firewall Rule Change,High,Detected
EVT00028,2026-01-01 02:20:00,40.239.202.67,10.0.5.40,Phishing Email,Low,Detected
EVT00029,2026-01-01 02:25:00,202.161.178.119,10.0.9.200,Failed Login,Medium,Success
EVT00030,2026-01-01 02:30:00,212.117.126.63,10.0.9.166,USB Device Connected,High,Failed
EVT00031,2026-01-01 02:35:00,133.15.132.42,10.0.8.83,Phishing Email,High,Detected
EVT00032,2026-01-01 02:40:00,211.172.243.51,10.0.0.193,USB Device Connected,High,Success
EVT00033,2026-01-01 02:45:00,79.0.63.152,10.0.1.58,SQL Injection Attempt,Critical,Success
EVT00034,2026-01-01 02:50:00,222.27.14.181,10.0.6.26,Configuration Change,High,Success
EVT00035,2026-01-01 02:55:00,193.28.232.215,10.0.6.9,Web Shell Detected,High,Blocked
EVT00036,2026-01-01 03:00:00,33.27.13.84,10.0.4.165,Data Exfiltration Attempt,High,Failed
EVT00037,2026-01-01 03:05:00,167.241.73.214,10.0.1.173,Web Shell Detected,Critical,Detected
EVT00038,2026-01-01 03:10:00,131.76.234.67,10.0.0.215,Configuration Change,Medium,Failed
EVT00039,2026-01-01 03:15:00,217.10.48.39,10.0.4.3,Data Exfiltration Attempt,Low,Blocked
EVT00040,2026-01-01 03:20:00,100.133.98.234,10.0.4.12,Login Success,High,Success
EVT00041,2026-01-01 03:25:00,129.240.52.182,10.0.9.172,Login Success,Medium,Detected
EVT00042,2026-01-01 03:30:00,192.87.70.117,10.0.1.42,File Access,High,Detected
EVT00043,2026-01-01 03:35:00,206.137.162.26,10.0.0.2,Phishing Email,Medium,Success
EVT00044,2026-01-01 03:40:00,133.39.197.127,10.0.5.23,Brute Force,Low,Success
