event_id,timestamp,source_ip,destination_ip,event_type,ioc_status,ioc_type,ioc_value,threat_name,threat_actor,ioc_confidence,ioc_severity,indicator_id,matched_from,enrichment_source
EVT00001,2026-01-01 00:05:00,32.164.172.36,10.0.4.96,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00002,2026-01-01 00:10:00,198.41.10.149,10.0.2.163,Ransomware Detected,Suspicious,URL,http://www.harris.info/appprivacy.html,Ransomware,Anonymous Group,Low,High,IOC00001,synthetic_mapping,Synthetic Demo
EVT00003,2026-01-01 00:15:00,158.155.250.95,10.0.2.67,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00004,2026-01-01 00:20:00,213.160.172.226,10.0.5.3,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00005,2026-01-01 00:25:00,102.53.4.212,10.0.4.106,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00006,2026-01-01 00:30:00,20.212.77.245,10.0.0.12,Brute Force,Suspicious,Email Address,austin73@example.net,Brute Force,Unknown,Low,Low,IOC00028,synthetic_mapping,Synthetic Demo
EVT00007,2026-01-01 00:35:00,159.245.107.218,10.0.5.31,DDoS Attempt,Suspicious,URL,https://diaz.info/explorepost.php,DDoS,Organized Crime Syndicate,Medium,Medium,IOC00015,synthetic_mapping,Synthetic Demo
EVT00008,2026-01-01 00:40:00,38.91.241.59,10.0.2.112,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00009,2026-01-01 00:45:00,205.113.238.248,10.0.2.184,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00010,2026-01-01 00:50:00,157.182.214.170,10.0.9.192,File Access,No IOC Match,,,,,,,,,No Match
EVT00011,2026-01-01 00:55:00,155.109.165.140,10.0.8.250,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00012,2026-01-01 01:00:00,203.44.143.133,10.0.1.5,SQL Injection Attempt,Suspicious,Email Address,stevencasey@example.net,SQL Injection Campaign,Hacktivist Collective,Low,Low,IOC00022,synthetic_mapping,Synthetic Demo
EVT00013,2026-01-01 01:05:00,206.128.172.251,10.0.2.21,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00014,2026-01-01 01:10:00,42.80.211.45,10.0.4.134,Lateral Movement Detected,No IOC Match,,,,,,,,,No Match
EVT00015,2026-01-01 01:15:00,158.13.190.130,10.0.9.209,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00016,2026-01-01 01:20:00,172.212.118.217,10.0.8.219,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00017,2026-01-01 01:25:00,143.98.113.32,10.0.9.175,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00018,2026-01-01 01:30:00,14.159.148.75,10.0.7.167,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00019,2026-01-01 01:35:00,181.126.33.249,10.0.9.214,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00020,2026-01-01 01:40:00,155.173.209.74,10.0.4.64,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00021,2026-01-01 01:45:00,11.248.138.69,10.0.7.148,Session Hijacking Attempt,No IOC Match,,,,,,,,,No Match
EVT00022,2026-01-01 01:50:00,187.58.130.51,10.0.7.21,Port Scan,No IOC Match,,,,,,,,,No Match
EVT00023,2026-01-01 01:55:00,209.211.49.58,10.0.6.12,VPN Connection,No IOC Match,,,,,,,,,No Match
EVT00024,2026-01-01 02:00:00,37.43.31.145,10.0.0.190,Phishing Email,Malicious,File Hash (SHA256),ad9f0d60a63f94d3511a87e31db16526343d5cb17f3471fdce0c14cbbef271a2,Phishing,Script Kiddie,High,Medium,IOC00023,synthetic_mapping,Synthetic Demo
EVT00025,2026-01-01 02:05:00,203.100.239.93,10.0.1.78,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00026,2026-01-01 02:10:00,204.200.119.225,10.0.0.85,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00027,2026-01-01 02:15:00,82.160.56.163,10.0.9.232,Firewall Rule Change,No IOC Match,,,,,,,,,No Match
EVT00028,2026-01-01 02:20:00,40.239.202.67,10.0.5.40,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00029,2026-01-01 02:25:00,202.161.178.119,10.0.9.200,Failed Login,No IOC Match,,,,,,,,,No Match
EVT00030,2026-01-01 02:30:00,212.117.126.63,10.0.9.166,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00031,2026-01-01 02:35:00,133.15.132.42,10.0.8.83,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00032,2026-01-01 02:40:00,211.172.243.51,10.0.0.193,USB Device Connected,No IOC Match,,,,,,,,,No Match
EVT00033,2026-01-01 02:45:00,79.0.63.152,10.0.1.58,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00034,2026-01-01 02:50:00,222.27.14.181,10.0.6.26,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00035,2026-01-01 02:55:00,193.28.232.215,10.0.6.9,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00036,2026-01-01 03:00:00,33.27.13.84,10.0.4.165,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT00037,2026-01-01 03:05:00,167.241.73.214,10.0.1.173,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00038,2026-01-01 03:10:00,131.76.234.67,10.0.0.215,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00039,2026-01-01 03:15:00,217.10.48.39,10.0.4.3,Data Exfiltration Attempt,No IOC Match,,,,,,,,,No Match
EVT00040,2026-01-01 03:20:00,100.133.98.234,10.0.4.12,Login Success,No IOC Match,,,,,,,,,No Match
EVT00041,2026-01-01 03:25:00,129.240.52.182,10.0.9.172,Login Success,No IOC Match,,,,,,,,,No Match
EVT00042,2026-01-01 03:30:00,192.87.70.117,10.0.1.42,File Access,No IOC Match,,,,,,,,,No Match
EVT00043,2026-01-01 03:35:00,206.137.162.26,10.0.0.2,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00044,2026-01-01 03:40:00,133.39.197.127,10.0.5.23,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00045,2026-01-01 03:45:00,180.134.250.197,10.0.2.166,Brute Force,No IOC Match,,,,,,,,,No Match
EVT00046,2026-01-01 03:50:00,51.147.204.120,10.0.3.44,Login Success,No IOC Match,,,,,,,,,No Match
EVT00047,2026-01-01 03:55:00,110.134.150.56,10.0.4.196,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00048,2026-01-01 04:00:00,169.59.32.126,10.0.3.19,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00049,2026-01-01 04:05:00,129.178.40.143,10.0.3.147,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00050,2026-01-01 04:10:00,83.91.69.167,10.0.0.107,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT00051,2026-01-01 04:15:00,216.17.141.251,10.0.8.246,Configuration Change,No IOC Match,,,,,,,,,No Match
EVT00052,2026-01-01 04:20:00,125.209.158.175,10.0.2.15,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00053,2026-01-01 04:25:00,70.16.62.163,10.0.5.230,Account Lockout,No IOC Match,,,,,,,,,No Match
EVT00054,2026-01-01 04:30:00,197.98.250.213,10.0.6.225,Port Scan,No IOC Match,,,,,,,,,No Match
EVT00055,2026-01-01 04:35:00,216.106.120.86,10.0.4.158,Malware Detection,Suspicious,File Hash (SHA256),9111723852543ca1bc27e8c4faf1b4b84032b1c521d5079e62ef21ce22a5afdf,Malware,Script Kiddie,Low,High,IOC00039,synthetic_mapping,Synthetic Demo
EVT00056,2026-01-01 04:40:00,49.249.183.213,10.0.3.105,Suspicious Process Execution,No IOC Match,,,,,,,,,No Match
EVT00057,2026-01-01 04:45:00,83.197.115.10,10.0.7.89,SQL Injection Attempt,No IOC Match,,,,,,,,,No Match
EVT00058,2026-01-01 04:50:00,222.236.78.121,10.0.0.222,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00059,2026-01-01 04:55:00,215.155.138.0,10.0.1.237,Privilege Escalation,No IOC Match,,,,,,,,,No Match
EVT00060,2026-01-01 05:00:00,184.62.255.57,10.0.6.79,Unauthorized Access,No IOC Match,,,,,,,,,No Match
EVT00061,2026-01-01 05:05:00,223.255.56.38,10.0.9.102,DDoS Attempt,No IOC Match,,,,,,,,,No Match
EVT00062,2026-01-01 05:10:00,209.1.70.16,10.0.0.11,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00063,2026-01-01 05:15:00,212.212.127.159,10.0.7.129,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00064,2026-01-01 05:20:00,181.131.44.236,10.0.0.85,DNS Tunneling Detected,No IOC Match,,,,,,,,,No Match
EVT00065,2026-01-01 05:25:00,221.103.138.251,10.0.9.81,Web Shell Detected,No IOC Match,,,,,,,,,No Match
EVT00066,2026-01-01 05:30:00,191.194.104.78,10.0.7.131,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00067,2026-01-01 05:35:00,208.24.25.46,10.0.4.158,Ransomware Detected,No IOC Match,,,,,,,,,No Match
EVT00068,2026-01-01 05:40:00,217.165.26.245,10.0.1.60,Phishing Email,No IOC Match,,,,,,,,,No Match
EVT00069,2026-01-01 05:45:00,194.91.18.133,10.0.5.206,Credential Dumping,No IOC Match,,,,,,,,,No Match
EVT00070,2026-01-01 05:50:00,44.141.15.196,10.0.5.139,USB Device Connected,No IOC Match,,,,,,,,,No Match
