indicator,threat_type,confidence,mitre_id,technique_name,tactic
192.168.1.7,Brute Force,65,T1110,Brute Force,Credential Access
192.168.2.14,Ransomware,52,T1595,Active Scanning,Reconnaissance
192.168.3.21,Ransomware,95,T1595,Active Scanning,Reconnaissance
192.168.4.28,Malware,50,T1204,User Execution,Execution
192.168.5.35,Phishing,98,T1566,Phishing,Initial Access
192.168.6.42,Brute Force,88,T1110,Brute Force,Credential Access
192.168.7.49,Ransomware,55,T1595,Active Scanning,Reconnaissance
192.168.8.56,Ransomware,52,T1595,Active Scanning,Reconnaissance
192.168.9.63,Brute Force,74,T1110,Brute Force,Credential Access
192.168.10.70,Malware,63,T1204,User Execution,Execution
192.168.11.77,Ransomware,60,T1595,Active Scanning,Reconnaissance
192.168.12.84,Phishing,52,T1566,Phishing,Initial Access
192.168.13.91,Malware,91,T1204,User Execution,Execution
192.168.14.98,Malware,65,T1204,User Execution,Execution
192.168.15.105,Ransomware,73,T1595,Active Scanning,Reconnaissance
192.168.16.112,Ransomware,98,T1595,Active Scanning,Reconnaissance
192.168.17.119,Malware,74,T1204,User Execution,Execution
192.168.18.126,Ransomware,93,T1595,Active Scanning,Reconnaissance
192.168.19.133,Phishing,77,T1566,Phishing,Initial Access
192.168.20.140,Ransomware,90,T1595,Active Scanning,Reconnaissance
192.168.21.147,Malware,84,T1204,User Execution,Execution
192.168.22.154,Credential Dumping,73,T1595,Active Scanning,Reconnaissance
192.168.23.161,Ransomware,96,T1595,Active Scanning,Reconnaissance
192.168.24.168,Malware,66,T1204,User Execution,Execution
192.168.25.175,Malware,75,T1204,User Execution,Execution
192.168.26.182,Ransomware,65,T1595,Active Scanning,Reconnaissance
192.168.27.189,Ransomware,50,T1595,Active Scanning,Reconnaissance
192.168.28.196,Malware,71,T1204,User Execution,Execution
192.168.29.203,Credential Dumping,96,T1595,Active Scanning,Reconnaissance
192.168.30.210,Credential Dumping,56,T1595,Active Scanning,Reconnaissance
192.168.31.217,Credential Dumping,96,T1595,Active Scanning,Reconnaissance
192.168.32.224,Brute Force,56,T1110,Brute Force,Credential Access
192.168.33.231,Malware,67,T1204,User Execution,Execution
192.168.34.238,Credential Dumping,91,T1595,Active Scanning,Reconnaissance
192.168.35.245,Malware,81,T1204,User Execution,Execution
192.168.36.252,Brute Force,50,T1110,Brute Force,Credential Access
192.168.37.4,Phishing,59,T1566,Phishing,Initial Access
192.168.38.11,Ransomware,53,T1595,Active Scanning,Reconnaissance
192.168.39.18,Brute Force,54,T1110,Brute Force,Credential Access
192.168.40.25,Credential Dumping,87,T1595,Active Scanning,Reconnaissance
192.168.41.32,Credential Dumping,63,T1595,Active Scanning,Reconnaissance
192.168.42.39,Phishing,92,T1566,Phishing,Initial Access
192.168.43.46,Brute Force,89,T1110,Brute Force,Credential Access
192.168.44.53,Ransomware,58,T1595,Active Scanning,Reconnaissance
192.168.45.60,Phishing,78,T1566,Phishing,Initial Access
192.168.46.67,Ransomware,58,T1595,Active Scanning,Reconnaissance
192.168.47.74,Ransomware,68,T1595,Active Scanning,Reconnaissance
192.168.48.81,Malware,66,T1204,User Execution,Execution
192.168.49.88,Phishing,71,T1566,Phishing,Initial Access
192.168.50.95,Malware,85,T1204,User Execution,Execution
192.168.51.102,Ransomware,87,T1595,Active Scanning,Reconnaissance
192.168.52.109,Brute Force,100,T1110,Brute Force,Credential Access
192.168.53.116,Malware,99,T1204,User Execution,Execution
192.168.54.123,Ransomware,60,T1595,Active Scanning,Reconnaissance
192.168.55.130,Malware,92,T1204,User Execution,Execution
192.168.56.137,Malware,52,T1204,User Execution,Execution
192.168.57.144,Phishing,64,T1566,Phishing,Initial Access
192.168.58.151,Phishing,99,T1566,Phishing,Initial Access
192.168.59.158,Ransomware,57,T1595,Active Scanning,Reconnaissance
192.168.60.165,Brute Force,72,T1110,Brute Force,Credential Access
192.168.61.172,Ransomware,86,T1595,Active Scanning,Reconnaissance
192.168.62.179,Brute Force,77,T1110,Brute Force,Credential Access
192.168.63.186,Ransomware,96,T1595,Active Scanning,Reconnaissance
192.168.64.193,Phishing,85,T1566,Phishing,Initial Access
192.168.65.200,Malware,85,T1204,User Execution,Execution
192.168.66.207,Credential Dumping,78,T1595,Active Scanning,Reconnaissance
192.168.67.214,Malware,82,T1204,User Execution,Execution
192.168.68.221,Brute Force,64,T1110,Brute Force,Credential Access
192.168.69.228,Malware,79,T1204,User Execution,Execution
192.168.70.235,Credential Dumping,65,T1595,Active Scanning,Reconnaissance
192.168.71.242,Brute Force,61,T1110,Brute Force,Credential Access
192.168.72.249,Ransomware,79,T1595,Active Scanning,Reconnaissance
192.168.73.1,Credential Dumping,60,T1595,Active Scanning,Reconnaissance
192.168.74.8,Phishing,99,T1566,Phishing,Initial Access
192.168.75.15,Phishing,95,T1566,Phishing,Initial Access
192.168.76.22,Phishing,59,T1566,Phishing,Initial Access
192.168.77.29,Malware,76,T1204,User Execution,Execution
192.168.78.36,Brute Force,74,T1110,Brute Force,Credential Access
192.168.79.43,Ransomware,50,T1595,Active Scanning,Reconnaissance
192.168.80.50,Credential Dumping,64,T1595,Active Scanning,Reconnaissance
192.168.81.57,Credential Dumping,96,T1595,Active Scanning,Reconnaissance
192.168.82.64,Ransomware,87,T1595,Active Scanning,Reconnaissance
192.168.83.71,Credential Dumping,61,T1595,Active Scanning,Reconnaissance
192.168.84.78,Malware,71,T1204,User Execution,Execution
192.168.85.85,Phishing,51,T1566,Phishing,Initial Access
192.168.86.92,Malware,98,T1204,User Execution,Execution
192.168.87.99,Brute Force,58,T1110,Brute Force,Credential Access
192.168.88.106,Credential Dumping,60,T1595,Active Scanning,Reconnaissance
192.168.89.113,Malware,87,T1204,User Execution,Execution
192.168.90.120,Credential Dumping,87,T1595,Active Scanning,Reconnaissance
192.168.91.127,Brute Force,100,T1110,Brute Force,Credential Access
192.168.92.134,Ransomware,54,T1595,Active Scanning,Reconnaissance
192.168.93.141,Credential Dumping,77,T1595,Active Scanning,Reconnaissance
192.168.94.148,Malware,96,T1204,User Execution,Execution
192.168.95.155,Ransomware,77,T1595,Active Scanning,Reconnaissance
192.168.96.162,Malware,78,T1204,User Execution,Execution
192.168.97.169,Phishing,70,T1566,Phishing,Initial Access
192.168.98.176,Phishing,88,T1566,Phishing,Initial Access
192.168.99.183,Ransomware,65,T1595,Active Scanning,Reconnaissance
192.168.100.190,Credential Dumping,100,T1595,Active Scanning,Reconnaissance
192.168.101.197,Credential Dumping,92,T1595,Active Scanning,Reconnaissance
192.168.102.204,Credential Dumping,94,T1595,Active Scanning,Reconnaissance
192.168.103.211,Malware,70,T1204,User Execution,Execution
192.168.104.218,Malware,67,T1204,User Execution,Execution
192.168.105.225,Brute Force,64,T1110,Brute Force,Credential Access
192.168.106.232,Ransomware,52,T1595,Active Scanning,Reconnaissance
192.168.107.239,Credential Dumping,86,T1595,Active Scanning,Reconnaissance
192.168.108.246,Phishing,66,T1566,Phishing,Initial Access
192.168.109.253,Credential Dumping,86,T1595,Active Scanning,Reconnaissance
192.168.110.5,Malware,65,T1204,User Execution,Execution
192.168.111.12,Ransomware,78,T1595,Active Scanning,Reconnaissance
192.168.112.19,Phishing,98,T1566,Phishing,Initial Access
192.168.113.26,Brute Force,61,T1110,Brute Force,Credential Access
192.168.114.33,Credential Dumping,68,T1595,Active Scanning,Reconnaissance
192.168.115.40,Credential Dumping,66,T1595,Active Scanning,Reconnaissance
192.168.116.47,Credential Dumping,91,T1595,Active Scanning,Reconnaissance
192.168.117.54,Brute Force,100,T1110,Brute Force,Credential Access
192.168.118.61,Credential Dumping,94,T1595,Active Scanning,Reconnaissance
192.168.119.68,Ransomware,55,T1595,Active Scanning,Reconnaissance
192.168.120.75,Phishing,55,T1566,Phishing,Initial Access
192.168.121.82,Phishing,80,T1566,Phishing,Initial Access
192.168.122.89,Malware,55,T1204,User Execution,Execution
192.168.123.96,Phishing,71,T1566,Phishing,Initial Access
192.168.124.103,Credential Dumping,55,T1595,Active Scanning,Reconnaissance
192.168.125.110,Credential Dumping,76,T1595,Active Scanning,Reconnaissance
192.168.126.117,Ransomware,98,T1595,Active Scanning,Reconnaissance
192.168.127.124,Phishing,57,T1566,Phishing,Initial Access
192.168.128.131,Malware,85,T1204,User Execution,Execution
192.168.129.138,Credential Dumping,81,T1595,Active Scanning,Reconnaissance
192.168.130.145,Credential Dumping,65,T1595,Active Scanning,Reconnaissance
192.168.131.152,Malware,67,T1204,User Execution,Execution
192.168.132.159,Brute Force,87,T1110,Brute Force,Credential Access
192.168.133.166,Malware,72,T1204,User Execution,Execution
192.168.134.173,Credential Dumping,94,T1595,Active Scanning,Reconnaissance
192.168.135.180,Credential Dumping,97,T1595,Active Scanning,Reconnaissance
