event_id,prediction,confidence_score,anomaly_score,severity,event_type,asset_name,source_ip,timestamp
EVT00001,Normal,19.67,0.1555605165886113,Medium,Firewall Rule Change,LEG-PRT-0068,32.164.172.36,2026-01-01 00:05:00
EVT00002,Normal,30.86,0.0947355507014335,Low,Ransomware Detected,OPS-PC-0053,198.41.10.149,2026-01-01 00:10:00
EVT00003,Normal,53.57,0.0452802157198604,High,Suspicious Process Execution,MKT-PC-0026,158.155.250.95,2026-01-01 00:15:00
EVT00004,Normal,22.12,0.1019436311273145,High,Credential Dumping,MKT-DB-0098,213.160.172.226,2026-01-01 00:20:00
EVT00005,Normal,25.13,0.1004876553618773,High,Credential Dumping,SAL-MOB-0138,102.53.4.212,2026-01-01 00:25:00
EVT00006,Suspicious,60.37,-0.0001295096632438,High,Brute Force,ENG-FW-0105,20.212.77.245,2026-01-01 00:30:00
EVT00007,Normal,15.15,0.1380021621147075,Medium,DDoS Attempt,FIN-IOT-0123,159.245.107.218,2026-01-01 00:35:00
EVT00008,Normal,26.6,0.0998817252789587,Low,DDoS Attempt,OPS-MOB-0077,38.91.241.59,2026-01-01 00:40:00
EVT00009,Normal,20.15,0.1149758455155977,Medium,DDoS Attempt,FIN-FW-0015,205.113.238.248,2026-01-01 00:45:00
EVT00010,Normal,37.57,0.0502958315041209,Medium,File Access,IT-IOT-0051,157.182.214.170,2026-01-01 00:50:00
EVT00011,Normal,14.9,0.1296549107632945,Medium,DNS Tunneling Detected,SAL-LAP-0046,155.109.165.140,2026-01-01 00:55:00
EVT00012,Normal,32.76,0.1048497687720165,High,SQL Injection Attempt,HR-MOB-0013,203.44.143.133,2026-01-01 01:00:00
EVT00013,Normal,49.15,0.0501855632083945,High,Session Hijacking Attempt,IT-SW-0001,206.128.172.251,2026-01-01 01:05:00
EVT00014,Normal,24.37,0.1516751200508288,Medium,Lateral Movement Detected,MKT-SW-0042,42.80.211.45,2026-01-01 01:10:00
EVT00015,Normal,47.86,0.0763869909684491,High,DDoS Attempt,HR-PRT-0061,158.13.190.130,2026-01-01 01:15:00
EVT00016,Normal,61.21,0.0057315758155179,Critical,Session Hijacking Attempt,MKT-SRV-0076,172.212.118.217,2026-01-01 01:20:00
EVT00017,Normal,22.25,0.1380856763120078,High,Firewall Rule Change,IT-FW-0124,143.98.113.32,2026-01-01 01:25:00
EVT00018,Normal,21.05,0.1149046371523473,High,Failed Login,HR-MOB-0006,14.159.148.75,2026-01-01 01:30:00
EVT00019,Normal,27.82,0.0645975383517198,Medium,Web Shell Detected,IT-SW-0117,181.126.33.249,2026-01-01 01:35:00
EVT00020,Normal,25.96,0.1082359999727686,Critical,Suspicious Process Execution,OPS-DB-0092,155.173.209.74,2026-01-01 01:40:00
EVT00021,Normal,32.1,0.1217765903202263,Medium,Session Hijacking Attempt,IT-SRV-0016,11.248.138.69,2026-01-01 01:45:00
EVT00022,Normal,50.76,0.001032557854203,Low,Port Scan,LEG-LAP-0079,187.58.130.51,2026-01-01 01:50:00
EVT00023,Normal,25.17,0.13136756107981,High,VPN Connection,FIN-LAP-0086,209.211.49.58,2026-01-01 01:55:00
EVT00024,Normal,62.05,0.0219463789005098,High,Phishing Email,HR-SRV-0010,37.43.31.145,2026-01-01 02:00:00
EVT00025,Normal,36.34,0.0520656978162538,Critical,DNS Tunneling Detected,FIN-SRV-0093,203.100.239.93,2026-01-01 02:05:00
EVT00026,Normal,37.13,0.1023622612612733,Medium,Brute Force,HR-RTR-0013,204.200.119.225,2026-01-01 02:10:00
EVT00027,Normal,63.08,0.0175761223610327,High,Firewall Rule Change,HR-FW-0141,82.160.56.163,2026-01-01 02:15:00
EVT00028,Normal,39.75,0.0978453715396796,Low,Phishing Email,SAL-SRV-0136,40.239.202.67,2026-01-01 02:20:00
EVT00029,Normal,62.69,0.021086308792993,Medium,Failed Login,OPS-FW-0115,202.161.178.119,2026-01-01 02:25:00
EVT00030,Normal,45.63,0.0704434445139107,High,USB Device Connected,MKT-PRT-0052,212.117.126.63,2026-01-01 02:30:00
EVT00031,Normal,20.7,0.1286168877968002,High,Phishing Email,MKT-SRV-0003,133.15.132.42,2026-01-01 02:35:00
EVT00032,Normal,24.55,0.0935335232946238,High,USB Device Connected,LEG-IOT-0058,211.172.243.51,2026-01-01 02:40:00
EVT00033,Normal,36.29,0.0889658580518445,Critical,SQL Injection Attempt,IT-PC-0095,79.0.63.152,2026-01-01 02:45:00
EVT00034,Normal,25.55,0.1344492331738995,High,Configuration Change,FIN-IOT-0022,222.27.14.181,2026-01-01 02:50:00
EVT00035,Normal,26.43,0.1250905021373342,High,Web Shell Detected,HR-PRT-0029,193.28.232.215,2026-01-01 02:55:00
EVT00036,Normal,72.02,0.0129499677564718,High,Data Exfiltration Attempt,MKT-DB-0126,33.27.13.84,2026-01-01 03:00:00
EVT00037,Normal,32.64,0.0592711256532687,Critical,Web Shell Detected,SAL-IOT-0111,167.241.73.214,2026-01-01 03:05:00
EVT00038,Normal,38.22,0.1159459810550911,Medium,Configuration Change,LEG-LAP-0032,131.76.234.67,2026-01-01 03:10:00
EVT00039,Normal,22.07,0.136021327887625,Low,Data Exfiltration Attempt,ENG-MOB-0140,217.10.48.39,2026-01-01 03:15:00
EVT00040,Normal,14.71,0.1323641597036919,High,Login Success,SAL-LAP-0015,100.133.98.234,2026-01-01 03:20:00
EVT00041,Normal,35.31,0.1213497554043719,Medium,Login Success,FIN-FW-0005,129.240.52.182,2026-01-01 03:25:00
EVT00042,Normal,27.14,0.1239348864335879,High,File Access,ENG-MOB-0038,192.87.70.117,2026-01-01 03:30:00
EVT00043,Normal,19.23,0.1414308033543715,Medium,Phishing Email,MKT-SRV-0087,206.137.162.26,2026-01-01 03:35:00
EVT00044,Normal,23.7,0.1140385574537136,Low,Brute Force,OPS-SRV-0017,133.39.197.127,2026-01-01 03:40:00
EVT00045,Normal,45.62,0.0911638596501904,High,Brute Force,ENG-LAP-0056,180.134.250.197,2026-01-01 03:45:00
EVT00046,Normal,33.0,0.0702823636460291,Low,Login Success,MKT-PRT-0077,51.147.204.120,2026-01-01 03:50:00
EVT00047,Suspicious,66.54,-0.0196718781784346,Critical,Suspicious Process Execution,IT-FW-0080,110.134.150.56,2026-01-01 03:55:00
EVT00048,Normal,52.97,0.0227459882222981,Critical,Unauthorized Access,MKT-SRV-0091,169.59.32.126,2026-01-01 04:00:00
EVT00049,Normal,25.37,0.1173209517317626,High,Ransomware Detected,OPS-FW-0057,129.178.40.143,2026-01-01 04:05:00
EVT00050,Normal,17.53,0.1533554893923995,Medium,Privilege Escalation,ENG-PRT-0025,83.91.69.167,2026-01-01 04:10:00
EVT00051,Suspicious,55.15,-0.0015260573769003,High,Configuration Change,LEG-MOB-0012,216.17.141.251,2026-01-01 04:15:00
EVT00052,Normal,59.73,0.0436919853439394,Medium,DDoS Attempt,ENG-PRT-0061,125.209.158.175,2026-01-01 04:20:00
EVT00053,Normal,42.71,0.0655717483569917,Low,Account Lockout,HR-SRV-0059,70.16.62.163,2026-01-01 04:25:00
EVT00054,Normal,25.36,0.1013846300738851,Low,Port Scan,FIN-IOT-0057,197.98.250.213,2026-01-01 04:30:00
EVT00055,Normal,42.81,0.0751595673260757,Critical,Malware Detection,LEG-DB-0043,216.106.120.86,2026-01-01 04:35:00
EVT00056,Normal,24.0,0.1203076786159608,Low,Suspicious Process Execution,HR-MOB-0079,49.249.183.213,2026-01-01 04:40:00
EVT00057,Normal,17.56,0.1588833003695806,Medium,SQL Injection Attempt,ENG-MOB-0127,83.197.115.10,2026-01-01 04:45:00
EVT00058,Normal,60.63,0.0542717649630503,Medium,Unauthorized Access,MKT-LAP-0079,222.236.78.121,2026-01-01 04:50:00
EVT00059,Normal,27.37,0.1361476968783054,Medium,Privilege Escalation,LEG-MOB-0094,215.155.138.0,2026-01-01 04:55:00
EVT00060,Normal,50.2,0.0375977691225242,Critical,Unauthorized Access,MKT-SW-0076,184.62.255.57,2026-01-01 05:00:00
EVT00061,Normal,22.24,0.122131686506842,High,DDoS Attempt,ENG-IOT-0021,223.255.56.38,2026-01-01 05:05:00
EVT00062,Normal,44.75,0.0500093221778189,Low,Ransomware Detected,ENG-SW-0103,209.1.70.16,2026-01-01 05:10:00
EVT00063,Suspicious,83.05,-0.0569274116134665,Low,Credential Dumping,FIN-LAP-0097,212.212.127.159,2026-01-01 05:15:00
EVT00064,Normal,63.92,0.0030230258552665,High,DNS Tunneling Detected,IT-SRV-0134,181.131.44.236,2026-01-01 05:20:00
EVT00065,Normal,37.01,0.0388833728360616,High,Web Shell Detected,MKT-SW-0097,221.103.138.251,2026-01-01 05:25:00
EVT00066,Normal,44.32,0.0546461230207906,High,Ransomware Detected,MKT-SRV-0032,191.194.104.78,2026-01-01 05:30:00
EVT00067,Normal,26.85,0.0950548667550214,Critical,Ransomware Detected,IT-RTR-0049,208.24.25.46,2026-01-01 05:35:00
EVT00068,Normal,24.77,0.1415210188836616,Medium,Phishing Email,OPS-PRT-0075,217.165.26.245,2026-01-01 05:40:00
EVT00069,Normal,37.62,0.0899312346770351,Medium,Credential Dumping,LEG-SRV-0040,194.91.18.133,2026-01-01 05:45:00
EVT00070,Suspicious,76.68,-0.0214986311461047,Low,USB Device Connected,FIN-MOB-0070,44.141.15.196,2026-01-01 05:50:00
EVT00071,Suspicious,74.99,-0.0152974263583334,Critical,File Access,OPS-SW-0108,156.186.231.38,2026-01-01 05:55:00
EVT00072,Normal,43.4,0.0823930032507187,Low,Credential Dumping,OPS-SRV-0010,197.123.164.153,2026-01-01 06:00:00
EVT00073,Normal,24.61,0.0951565191335884,High,DNS Tunneling Detected,HR-FW-0071,7.31.52.167,2026-01-01 06:05:00
EVT00074,Normal,44.32,0.0690847668569246,Critical,Login Success,SAL-MOB-0097,219.166.41.58,2026-01-01 06:10:00
EVT00075,Normal,43.24,0.0121899686356327,High,File Access,MKT-DB-0121,172.146.143.106,2026-01-01 06:15:00
EVT00076,Normal,43.78,0.0779548345509211,Low,SQL Injection Attempt,IT-SW-0107,210.53.74.4,2026-01-01 06:20:00
EVT00077,Normal,33.73,0.0669012034794426,Low,USB Device Connected,SAL-PRT-0019,77.253.94.155,2026-01-01 06:25:00
EVT00078,Normal,72.78,0.0066278950264436,Critical,Firewall Rule Change,SAL-DB-0045,171.42.240.81,2026-01-01 06:30:00
EVT00079,Normal,25.32,0.104380331535626,Critical,Failed Login,MKT-IOT-0073,129.186.200.144,2026-01-01 06:35:00
EVT00080,Normal,31.29,0.1242663622354665,High,Account Lockout,MKT-SW-0120,189.132.72.167,2026-01-01 06:40:00
EVT00081,Normal,15.66,0.1688111199768294,High,Login Success,LEG-DB-0052,13.73.79.217,2026-01-01 06:45:00
EVT00082,Normal,20.08,0.1322105908905086,High,Phishing Email,FIN-PRT-0128,126.53.144.76,2026-01-01 06:50:00
EVT00083,Normal,16.82,0.1394339218005617,High,Session Hijacking Attempt,MKT-SW-0111,180.246.155.138,2026-01-01 06:55:00
EVT00084,Normal,25.76,0.1090882894007242,Low,Account Lockout,LEG-PC-0064,203.122.68.38,2026-01-01 07:00:00
EVT00085,Normal,35.45,0.1066444624223801,Medium,DNS Tunneling Detected,IT-FW-0016,145.164.246.119,2026-01-01 07:05:00
EVT00086,Normal,29.73,0.1412049870087909,Medium,Privilege Escalation,SAL-RTR-0074,16.15.255.8,2026-01-01 07:10:00
EVT00087,Normal,29.64,0.1378493808571432,High,Ransomware Detected,IT-RTR-0007,211.202.81.4,2026-01-01 07:15:00
EVT00088,Normal,31.61,0.0896626436466143,High,Suspicious Process Execution,LEG-SW-0055,124.137.44.171,2026-01-01 07:20:00
EVT00089,Normal,36.58,0.0980951598073105,Low,Firewall Rule Change,FIN-FW-0124,219.95.254.253,2026-01-01 07:25:00
EVT00090,Normal,43.95,0.0857256803377266,High,Credential Dumping,FIN-DB-0038,207.238.52.68,2026-01-01 07:30:00
EVT00091,Normal,58.07,0.0406555185925486,Critical,Configuration Change,FIN-RTR-0001,135.5.123.18,2026-01-01 07:35:00
EVT00092,Normal,51.74,0.0354925976346552,Medium,Failed Login,IT-RTR-0037,109.212.130.163,2026-01-01 07:40:00
EVT00093,Normal,34.19,0.0526912854344188,Critical,SQL Injection Attempt,FIN-LAP-0122,172.169.101.181,2026-01-01 07:45:00
EVT00094,Normal,14.91,0.1399672533042909,High,Login Success,MKT-PRT-0085,144.16.168.179,2026-01-01 07:50:00
EVT00095,Normal,31.18,0.1068430129699564,Low,Suspicious Process Execution,ENG-LAP-0080,167.23.209.28,2026-01-01 07:55:00
EVT00096,Normal,25.56,0.1184285772286701,Medium,VPN Connection,SAL-FW-0091,153.249.254.80,2026-01-01 08:00:00
EVT00097,Normal,30.05,0.1408162834612857,Medium,Login Success,LEG-MOB-0010,147.162.58.223,2026-01-01 08:05:00
EVT00098,Normal,19.83,0.1088123518927134,Critical,DNS Tunneling Detected,FIN-SW-0132,162.155.107.253,2026-01-01 08:10:00
EVT00099,Normal,28.61,0.1375030612582499,Medium,Phishing Email,MKT-SW-0050,199.83.48.100,2026-01-01 08:15:00
EVT00100,Normal,29.38,0.0909356757228289,Medium,Configuration Change,LEG-MOB-0038,1.11.226.18,2026-01-01 08:20:00
EVT00101,Suspicious,80.94,-0.0119264251047909,Low,Ransomware Detected,LEG-RTR-0038,132.145.121.154,2026-01-01 08:25:00
EVT00102,Normal,17.18,0.152961717932421,High,Credential Dumping,HR-RTR-0048,156.124.80.208,2026-01-01 08:30:00
EVT00103,Normal,20.05,0.134195248363592,Low,Lateral Movement Detected,OPS-IOT-0041,5.47.67.153,2026-01-01 08:35:00
EVT00104,Normal,18.74,0.1453942559851037,High,Lateral Movement Detected,OPS-SW-0039,173.111.176.97,2026-01-01 08:40:00
EVT00105,Normal,26.12,0.0737174180383245,High,VPN Connection,HR-PRT-0026,144.159.15.26,2026-01-01 08:45:00
EVT00106,Normal,21.56,0.0920844523719458,Medium,Ransomware Detected,HR-LAP-0073,134.204.4.223,2026-01-01 08:50:00
EVT00107,Normal,29.63,0.1143315560070342,High,Suspicious Process Execution,ENG-RTR-0035,16.91.205.199,2026-01-01 08:55:00
EVT00108,Normal,57.06,0.0556089823863068,Low,Phishing Email,MKT-SRV-0016,223.229.23.19,2026-01-01 09:00:00
EVT00109,Suspicious,66.05,-0.0044067668802078,Low,Web Shell Detected,IT-IOT-0003,97.14.38.50,2026-01-01 09:05:00
EVT00110,Normal,16.81,0.1234525638486946,High,Unauthorized Access,HR-RTR-0039,169.24.7.99,2026-01-01 09:10:00
EVT00111,Normal,39.39,0.070182503032262,Critical,Web Shell Detected,MKT-DB-0062,216.14.109.226,2026-01-01 09:15:00
EVT00112,Normal,46.41,0.0574047287004952,Low,Brute Force,ENG-PC-0044,2.132.31.207,2026-01-01 09:20:00
EVT00113,Normal,12.92,0.1728514980939409,Medium,DNS Tunneling Detected,HR-PC-0110,201.107.59.117,2026-01-01 09:25:00
EVT00114,Normal,24.17,0.1242825806569167,High,VPN Connection,OPS-MOB-0093,186.179.219.31,2026-01-01 09:30:00
EVT00115,Normal,36.61,0.0998339960119927,Low,Firewall Rule Change,MKT-SRV-0045,133.200.191.33,2026-01-01 09:35:00
EVT00116,Normal,20.06,0.1231961606262964,Medium,Unauthorized Access,OPS-PC-0082,211.166.101.85,2026-01-01 09:40:00
EVT00117,Normal,42.38,0.0594126199503576,Low,Suspicious Process Execution,OPS-SW-0091,157.52.54.123,2026-01-01 09:45:00
EVT00118,Normal,37.34,0.089221757964526,Critical,DDoS Attempt,FIN-IOT-0093,206.90.183.42,2026-01-01 09:50:00
EVT00119,Suspicious,78.08,-0.0311971470412406,Critical,Lateral Movement Detected,MKT-MOB-0082,210.208.227.163,2026-01-01 09:55:00
EVT00120,Normal,62.4,0.0223118034819458,Critical,USB Device Connected,HR-FW-0149,130.160.229.189,2026-01-01 10:00:00
EVT00121,Normal,28.14,0.1178316658370615,Medium,USB Device Connected,LEG-PC-0092,203.22.212.241,2026-01-01 10:05:00
EVT00122,Normal,25.79,0.0948387969580382,Critical,Session Hijacking Attempt,LEG-IOT-0089,121.68.189.217,2026-01-01 10:10:00
EVT00123,Normal,51.47,0.0444463962851873,High,Failed Login,IT-LAP-0013,211.108.168.36,2026-01-01 10:15:00
EVT00124,Normal,24.93,0.0894142862638652,Medium,Firewall Rule Change,OPS-SW-0057,121.184.94.71,2026-01-01 10:20:00
EVT00125,Normal,25.22,0.1499681467443288,High,File Access,IT-PRT-0039,176.55.93.139,2026-01-01 10:25:00
EVT00126,Normal,23.67,0.104436242056909,High,Malware Detection,MKT-PC-0045,211.172.177.240,2026-01-01 10:30:00
EVT00127,Normal,36.53,0.040589020214244,High,Privilege Escalation,HR-MOB-0083,149.247.193.33,2026-01-01 10:35:00
EVT00128,Normal,35.79,0.0374808422281613,Critical,Firewall Rule Change,SAL-MOB-0015,40.92.1.176,2026-01-01 10:40:00
EVT00129,Normal,50.43,0.0692544316487546,Critical,Data Exfiltration Attempt,MKT-SRV-0005,221.25.254.230,2026-01-01 10:45:00
EVT00130,Normal,29.14,0.0966712314526349,High,Brute Force,OPS-PRT-0051,108.200.39.109,2026-01-01 10:50:00
EVT00131,Normal,59.01,0.0401514983205391,High,Credential Dumping,ENG-LAP-0072,63.38.107.25,2026-01-01 10:55:00
EVT00132,Normal,64.86,0.0257266363323633,Low,Malware Detection,HR-SW-0046,163.87.28.109,2026-01-01 11:00:00
EVT00133,Normal,49.58,0.0251807637909325,Critical,SQL Injection Attempt,FIN-LAP-0017,104.210.155.20,2026-01-01 11:05:00
EVT00134,Normal,52.66,0.0290594685128514,High,VPN Connection,FIN-IOT-0125,144.190.193.144,2026-01-01 11:10:00
EVT00135,Normal,55.3,0.0373583696322465,High,Data Exfiltration Attempt,IT-FW-0114,5.119.40.251,2026-01-01 11:15:00
EVT00136,Normal,43.62,0.0946419531989902,Medium,SQL Injection Attempt,LEG-DB-0016,201.199.233.224,2026-01-01 11:20:00
EVT00137,Normal,34.25,0.0863080601900491,High,Configuration Change,SAL-IOT-0087,103.201.146.105,2026-01-01 11:25:00
EVT00138,Normal,28.51,0.132246534841433,Critical,Malware Detection,HR-IOT-0115,179.7.186.240,2026-01-01 11:30:00
EVT00139,Normal,25.52,0.1233021325701611,High,VPN Connection,IT-SW-0121,171.85.83.245,2026-01-01 11:35:00
EVT00140,Suspicious,78.11,-0.0065566271962065,Critical,Session Hijacking Attempt,LEG-LAP-0003,144.36.123.21,2026-01-01 11:40:00
EVT00141,Normal,27.89,0.1010131419699,High,Phishing Email,IT-SW-0072,58.253.255.55,2026-01-01 11:45:00
EVT00142,Normal,26.95,0.1285192838995216,High,VPN Connection,ENG-SW-0039,211.103.41.162,2026-01-01 11:50:00
EVT00143,Normal,35.36,0.1136019365969238,High,Login Success,SAL-FW-0007,185.126.22.165,2026-01-01 11:55:00
EVT00144,Normal,50.39,0.0082485394427497,High,Ransomware Detected,FIN-MOB-0038,170.63.116.35,2026-01-01 12:00:00
EVT00145,Normal,29.75,0.0997249378993446,Medium,USB Device Connected,FIN-FW-0126,160.89.31.202,2026-01-01 12:05:00
EVT00146,Normal,57.58,0.0389809464447706,Low,Account Lockout,FIN-FW-0050,139.128.100.216,2026-01-01 12:10:00
EVT00147,Normal,27.92,0.1196899411715938,High,SQL Injection Attempt,SAL-MOB-0133,216.253.119.30,2026-01-01 12:15:00
EVT00148,Normal,44.09,0.0810356523898915,Medium,Web Shell Detected,LEG-PC-0019,76.110.167.162,2026-01-01 12:20:00
