rank,event_id,risk_score_internal,risk_score,risk_level,priority,risk_score_complete,missing_components,component_weight_coverage,asset_criticality_score,reasons,calculated_at,input_severity,input_ml_confidence_raw,input_ml_prediction,input_cvss_score,input_ioc_status,input_ioc_confidence,input_asset_name,input_asset_criticality_label,input_asset_criticality_verified,input_asset_criticality_score_0to1,input_failed_login_attempts,ml_prediction,ioc_status,asset_name,asset_criticality_label,asset_criticality_verified,status
1,EVT02983,0.8272,82.72,Critical,Immediate Investigation,False,['asset_criticality'],0.8,,"['High ML confidence', 'High CVSS vulnerability']",2026-09-02T05:58:31.895240+00:00,Critical,86.31,Suspicious,9.8,No IOC Match,,HR-FW-0064,Unknown,False,,4,Suspicious,No IOC Match,HR-FW-0064,Unknown,False,Open
2,EVT07200,0.8265,82.65,Critical,Immediate Investigation,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.069502+00:00,Critical,84.49,Suspicious,10.0,No IOC Match,,SAL-LAP-0027,Unknown,False,,8,Suspicious,No IOC Match,SAL-LAP-0027,Unknown,False,Open
3,EVT09380,0.815,81.5,Critical,Immediate Investigation,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.156722+00:00,Critical,82.41,Suspicious,9.8,No IOC Match,,ENG-FW-0068,Unknown,False,,8,Suspicious,No IOC Match,ENG-FW-0068,Unknown,False,Open
4,EVT07014,0.8125,81.25,Critical,Immediate Investigation,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.062837+00:00,Critical,84.8,Suspicious,9.4,No IOC Match,,FIN-DB-0112,Unknown,False,,8,Suspicious,No IOC Match,FIN-DB-0112,Unknown,False,Open
5,EVT04821,0.8029,80.29,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.967456+00:00,Critical,80.93,Suspicious,9.5,No IOC Match,,HR-FW-0047,Unknown,False,,2,Suspicious,No IOC Match,HR-FW-0047,Unknown,False,Open
6,EVT02704,0.8028,80.28,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.883256+00:00,Critical,80.9,Suspicious,9.5,No IOC Match,,LEG-LAP-0118,Unknown,False,,8,Suspicious,No IOC Match,LEG-LAP-0118,Unknown,False,Open
7,EVT04789,0.8023,80.23,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.966182+00:00,Critical,77.53,Normal,9.9,No IOC Match,,IT-IOT-0086,Unknown,False,,8,Normal,No IOC Match,IT-IOT-0086,Unknown,False,Open
8,EVT00975,0.7994,79.94,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.811742+00:00,Critical,78.21,Suspicious,9.7,No IOC Match,,SAL-LAP-0079,Unknown,False,,6,Suspicious,No IOC Match,SAL-LAP-0079,Unknown,False,Open
9,EVT08644,0.7992,79.92,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.127111+00:00,Critical,79.75,Suspicious,9.5,No IOC Match,,MKT-PC-0100,Unknown,False,,7,Suspicious,No IOC Match,MKT-PC-0100,Unknown,False,Open
10,EVT06947,0.7958,79.58,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.060135+00:00,Critical,75.45,Suspicious,9.9,No IOC Match,,OPS-FW-0088,Unknown,False,,2,Suspicious,No IOC Match,OPS-FW-0088,Unknown,False,Open
11,EVT00119,0.7915,79.15,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.778824+00:00,Critical,78.08,Suspicious,9.4,No IOC Match,,MKT-MOB-0082,Unknown,False,,2,Suspicious,No IOC Match,MKT-MOB-0082,Unknown,False,Open
12,EVT00319,0.7909,79.09,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:31.786218+00:00,Critical,75.5,Normal,9.7,No IOC Match,,FIN-PC-0079,Unknown,False,,7,Normal,No IOC Match,FIN-PC-0079,Unknown,False,Open
13,EVT00024,0.7908,79.08,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Malicious IOC']",2026-09-02T05:58:31.774805+00:00,High,62.05,Normal,9.5,Malicious,High,HR-SRV-0010,Unknown,False,,0,Normal,Malicious,HR-SRV-0010,Unknown,False,Open
14,EVT06435,0.7882,78.82,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.038739+00:00,Critical,80.22,Suspicious,9.0,No IOC Match,,LEG-PC-0012,Unknown,False,,8,Suspicious,No IOC Match,LEG-PC-0012,Unknown,False,Open
15,EVT00307,0.7873,78.73,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:31.785770+00:00,Critical,79.12,Suspicious,9.1,No IOC Match,,LEG-DB-0125,Unknown,False,,2,Suspicious,No IOC Match,LEG-DB-0125,Unknown,False,Open
16,EVT08916,0.7858,78.58,High,Investigate Soon,False,['asset_criticality'],0.8,,"['High CVSS vulnerability', 'Multiple failed login attempts']",2026-09-02T05:58:32.138123+00:00,Critical,76.25,Normal,9.4,No IOC Match,,IT-PC-0018,Unknown,False,,8,Normal,No IOC Match,IT-PC-0018,Unknown,False,Open
17,EVT09064,0.7844,78.44,High,Investigate Soon,False,['asset_criticality'],0.8,,['High CVSS vulnerability'],2026-09-02T05:58:32.144247+00:00,Critical,72.62,Suspicious,9.8,No IOC Match,,MKT-SW-0105,Unknown,False,,0,Suspicious,No IOC Match,MKT-SW-0105,Unknown,False,Open
