event_type,mitre_id,technique_name,tactic
Brute Force,T1003,OS Credential Dumping,Credential Access
Brute Force,T1003.002,Security Account Manager,Credential Access
Brute Force,T1003.003,NTDS,Credential Access
Brute Force,T1003.004,LSA Secrets,Credential Access
Brute Force,T1003.006,DCSync,Credential Access
Brute Force,T1003.007,Proc Filesystem,Credential Access
Brute Force,T1003.008,/etc/passwd and /etc/shadow,Credential Access
Brute Force,T1040,Network Sniffing,Credential Access
Brute Force,T1056,Input Capture,Credential Access
Brute Force,T1056.001,Keylogging,Credential Access
Brute Force,T1056.002,GUI Input Capture,Credential Access
Brute Force,T1056.004,Credential API Hooking,Credential Access
Brute Force,T1110,Brute Force,Credential Access
Brute Force,T1110.002,Password Cracking,Credential Access
Brute Force,T1110.003,Password Spraying,Credential Access
Brute Force,T1187,Forced Authentication,Credential Access
Brute Force,T1212,Exploitation for Credential Access,Credential Access
Brute Force,T1528,Steal Application Access Token,Credential Access
Brute Force,T1539,Steal Web Session Cookie,Credential Access
Brute Force,T1552,Unsecured Credentials,Credential Access
Brute Force,T1552.001,Credentials In Files,Credential Access
Brute Force,T1552.002,Credentials in Registry,Credential Access
Brute Force,T1552.003,Shell History,Credential Access
Brute Force,T1552.004,Private Keys,Credential Access
Brute Force,T1552.005,Cloud Instance Metadata API,Credential Access
Brute Force,T1552.006,Group Policy Preferences,Credential Access
Brute Force,T1552.007,Container API,Credential Access
Brute Force,T1552.008,Chat Messages,Credential Access
Brute Force,T1555,Credentials from Password Stores,Credential Access
Brute Force,T1555.002,Securityd Memory,Credential Access
Brute Force,T1555.003,Credentials from Web Browsers,Credential Access
Brute Force,T1555.004,Windows Credential Manager,Credential Access
Brute Force,T1555.005,Password Managers,Credential Access
Brute Force,T1555.006,Cloud Secrets Management Stores,Credential Access
Brute Force,T1556,Modify Authentication Process,Credential Access
Brute Force,T1556.002,Password Filter DLL,Credential Access
Brute Force,T1556.004,Network Device Authentication,Credential Access
Brute Force,T1556.005,Reversible Encryption,Credential Access
Brute Force,T1556.006,Multi-Factor Authentication,Credential Access
Brute Force,T1556.007,Hybrid Identity,Credential Access
Brute Force,T1556.008,Network Provider DLL,Credential Access
Brute Force,T1556.009,Conditional Access Policies,Credential Access
Brute Force,T1557,Adversary-in-the-Middle,Credential Access
Brute Force,T1557.002,ARP Cache Poisoning,Credential Access
Brute Force,T1557.003,DHCP Spoofing,Credential Access
Brute Force,T1557.004,Evil Twin,Credential Access
Brute Force,T1558,Steal or Forge Kerberos Tickets,Credential Access
Brute Force,T1558.001,Golden Ticket,Credential Access
Brute Force,T1558.002,Silver Ticket,Credential Access
Brute Force,T1558.003,Kerberoasting,Credential Access
Brute Force,T1558.004,AS-REP Roasting,Credential Access
Brute Force,T1558.005,Ccache Files,Credential Access
Brute Force,T1606,Forge Web Credentials,Credential Access
Brute Force,T1606.001,Web Cookies,Credential Access
Brute Force,T1606.002,SAML Tokens,Credential Access
Brute Force,T1621,Multi-Factor Authentication Request Generation,Credential Access
Brute Force,T1649,Steal or Forge Authentication Certificates,Credential Access
Configuration Change,T1037,Boot or Logon Initialization Scripts,Persistence
Configuration Change,T1037.001,Logon Script (Windows),Persistence
Configuration Change,T1037.002,Login Hook,Persistence
Configuration Change,T1037.003,Network Logon Script,Persistence
Configuration Change,T1037.004,RC Scripts,Persistence
Configuration Change,T1037.005,Startup Items,Persistence
Configuration Change,T1053,Scheduled Task/Job,Persistence
Configuration Change,T1053.002,At,Persistence
Configuration Change,T1053.005,Scheduled Task,Persistence
