indicator_id,indicator_type,indicator_value,threat_name,threat_actor,confidence,severity,malware_family,ioc_reputation,confidence_score
IOC00001,URL,http://www.harris.info/appprivacy.html,Ransomware,APT29,Low,High,CobaltStrike,Benign,97
IOC00002,URL,http://www.harris-williamson.com/categories/blogabout.html,Backdoor,Lazarus,High,Medium,QakBot,Benign,70
IOC00003,Email Address,tatkinson@example.com,Botnet,FIN7,Low,High,AgentTesla,Suspicious,93
IOC00004,URL,https://www.perkins.org/tag/list/appindex.html,Keylogger,APT29,Medium,Medium,QakBot,Suspicious,65
IOC00005,Domain,hoffman.info,Adware,APT28,High,High,AgentTesla,Suspicious,54
IOC00006,File Hash (SHA256),68c59e6a0831b2702e51273c04be7366182d3c4db5a42d15369764e4801cbab3,Backdoor,APT28,Medium,Medium,AgentTesla,Malicious,73
IOC00007,Email Address,davismichael@example.com,DDoS,APT29,High,Critical,Emotet,Malicious,92
IOC00008,IP Address,143.6.3.87,Phishing,Lazarus,High,High,QakBot,Benign,50
IOC00009,Email Address,castanedabrandon@example.org,Ransomware,Unknown,Medium,Medium,Emotet,Benign,59
IOC00010,Domain,osborn-foster.info,Trojan,FIN7,Low,High,CobaltStrike,Malicious,92
IOC00011,Domain,mack.com,Spyware,APT29,High,Low,QakBot,Benign,96
IOC00012,Domain,davidson.com,Keylogger,Lazarus,Medium,High,TrickBot,Malicious,84
IOC00013,URL,https://www.henry.com/explore/wp-content/tagprivacy.htm,Ransomware,Unknown,Medium,High,TrickBot,Suspicious,80
IOC00014,URL,https://www.fritz-vazquez.com/bloglogin.html,Spyware,Lazarus,Low,Medium,TrickBot,Malicious,64
IOC00015,URL,https://diaz.info/explorepost.php,DDoS,Unknown,Medium,Medium,AgentTesla,Malicious,60
IOC00016,Domain,miller-jones.info,Ransomware,APT28,Medium,High,TrickBot,Malicious,58
IOC00017,URL,https://www.simmons.com/explorecategory.asp,DDoS,Unknown,Low,Low,CobaltStrike,Benign,51
IOC00018,File Hash (SHA256),c517f4ea6e7c4199039f659de8a479fc74b23ac553086c7d54fc502d4f9f236f,Trojan,APT28,Medium,Medium,QakBot,Malicious,93
IOC00019,Email Address,zmiller@example.org,DDoS,FIN7,High,Medium,QakBot,Malicious,79
IOC00020,File Hash (SHA256),2d9ca731fd082f9de602bccdc3cf407a4b87e5a5d0447f5136ac3ca9b872a3af,Keylogger,APT29,Low,High,AgentTesla,Malicious,65
IOC00021,URL,https://www.silva.biz/wp-contentauthor.html,DDoS,APT28,Medium,Medium,AgentTesla,Suspicious,97
IOC00022,Email Address,stevencasey@example.net,SQL Injection Campaign,Lazarus,Low,Low,AgentTesla,Malicious,50
IOC00023,File Hash (SHA256),ad9f0d60a63f94d3511a87e31db16526343d5cb17f3471fdce0c14cbbef271a2,Phishing,Unknown,High,Medium,CobaltStrike,Malicious,97
IOC00024,URL,https://www.boyer.com/main/categoryprivacy.asp,Adware,Lazarus,Low,Low,QakBot,Malicious,55
IOC00025,URL,http://www.williams.com/app/listfaq.php,Trojan,APT28,Low,Low,Emotet,Benign,95
IOC00026,Email Address,pmurray@example.com,Keylogger,Lazarus,High,High,AgentTesla,Suspicious,60
IOC00027,Domain,valencia-wells.com,Phishing,Unknown,High,High,TrickBot,Suspicious,82
IOC00028,Email Address,austin73@example.net,Brute Force,APT29,Low,Low,Emotet,Malicious,66
IOC00029,Domain,evans-johnson.org,DDoS,Lazarus,High,Medium,Emotet,Malicious,83
IOC00030,Email Address,benjaminberg@example.org,Phishing,FIN7,Medium,Medium,AgentTesla,Benign,95
IOC00031,URL,https://www.ware-kelley.com/blogcategory.jsp,Brute Force,Unknown,Low,Critical,TrickBot,Malicious,89
IOC00032,Email Address,efreeman@example.com,Spyware,Unknown,Low,Medium,AgentTesla,Benign,74
IOC00033,Domain,diaz.net,Trojan,FIN7,High,Medium,AgentTesla,Malicious,71
IOC00034,Domain,jackson.info,Ransomware,APT28,Medium,High,TrickBot,Benign,75
IOC00035,IP Address,32.54.249.195,Trojan,FIN7,Medium,High,Emotet,Suspicious,76
IOC00036,URL,http://thompson.com/main/blogsearch.htm,Adware,APT28,Medium,High,Emotet,Malicious,87
IOC00037,IP Address,92.16.7.99,Botnet,APT29,Medium,Medium,TrickBot,Benign,58
IOC00038,URL,http://www.pruitt.net/tags/tagsindex.html,Botnet,APT28,High,Medium,Emotet,Benign,86
